Month,Monthly Demand in Millions,12-MA,Trend,Additive deTrended,Additive Seasonality,Additive Residual,Multiplicative deTrended,Multiplicative Seasonality,Multiplicative Residual
01-07-1991,3.526591,0,0,3.526591,0,3.526591,Inf,0,Inf
01-08-1991,3.180891,0,0,3.180891,0,3.180891,Inf,0,Inf
01-09-1991,3.252221,0,0,3.252221,0,3.252221,Inf,0,Inf
01-10-1991,3.611003,0,0,3.611003,0,3.611003,Inf,0,Inf
01-11-1991,3.565869,0,0,3.565869,0,3.565869,Inf,0,Inf
01-12-1991,4.306371,3.494541083,0,4.306371,0,4.306371,Inf,0,Inf
01-01-1992,5.088335,3.512146068,3.503343576,1.584991424,3.240827811,-1.655836386,1.45242249,1.32980839,1.092204336
01-02-1992,2.81452,3.543636493,3.52789128,-0.71337128,-2.266297163,1.552925882,0.797791025,0.779121408,1.023962397
01-03-1992,2.985811,3.587384887,3.56551069,-0.57969969,-1.228123141,0.648423452,0.837414682,0.875892953,0.956069664
01-04-1992,3.20478,3.613508838,3.600446863,-0.395666863,-1.565761628,1.170094765,0.890106179,0.857301664,1.038264845
01-05-1992,3.127578,3.681897332,3.647703085,-0.520125085,-0.587494951,0.067369866,0.857410246,0.932528984,0.919446217
01-06-1992,3.270523,3.807245513,3.744571422,-0.474048422,-0.845161238,0.371112816,0.873403824,0.916091603,0.953402281
01-07-1992,3.73785082,3.899223237,3.853234375,-0.115383555,-0.222106354,0.1067228,0.970055402,0.977965833,0.991911342
01-08-1992,3.55877609,3.952251319,3.925737278,-0.366961188,-0.017413376,-0.349547812,0.906524262,0.989173399,0.916446261
01-09-1992,3.77720173,4.017792641,3.98502198,-0.20782025,-0.143319153,-0.064501097,0.94784966,0.985871331,0.961433435
01-10-1992,3.92449042,4.061919549,4.039856095,-0.115365675,0.574863726,-0.690229401,0.971443123,1.044928686,0.929674088
01-11-1992,4.38653092,4.126737959,4.094328754,0.292202166,0.97253852,-0.680336354,1.071367539,1.074976911,0.996642372
01-12-1992,5.81054917,4.191668304,4.159203132,1.651346038,2.155879455,-0.504533417,1.397034236,1.229683382,1.136092637
01-01-1993,6.19206769,4.239811196,4.21573975,1.97632794,3.240827811,-1.264499871,1.468797425,1.32980839,1.104518091
01-02-1993,3.45085699,4.323428568,4.281619882,-0.830762892,-2.266297163,1.435534271,0.805969957,0.779121408,1.034460032
01-03-1993,3.77230686,4.392716926,4.358072747,-0.585765887,-1.228123141,0.642357255,0.865590613,0.875892953,0.9882379
01-04-1993,3.7343029,4.454663665,4.423690295,-0.689387395,-1.565761628,0.876374232,0.844160113,0.857301664,0.984671031
01-05-1993,3.90539892,4.513606209,4.484134937,-0.578736017,-0.587494951,0.008758934,0.870936976,0.932528984,0.933951642
01-06-1993,4.04968714,4.627723962,4.570665085,-0.520977945,-0.845161238,0.324183293,0.886017038,0.916091603,0.967170788
01-07-1993,4.31556552,4.672674411,4.650199186,-0.334633666,-0.222106354,-0.112527312,0.928038853,0.977965833,0.948948135
01-08-1993,4.56218455,4.70520946,4.688941935,-0.126757385,-0.017413376,-0.109344009,0.97296674,0.989173399,0.983615958
01-09-1993,4.60866203,4.757023519,4.73111649,-0.12245446,-0.143319153,0.020864693,0.974117217,0.985871331,0.988077437
01-10-1993,4.66785129,4.785443338,4.771233429,-0.103382139,0.574863726,-0.678245865,0.978332199,1.044928686,0.936266955
01-11-1993,5.09384145,4.838380503,4.811911921,0.281929529,0.97253852,-0.690608991,1.058589919,1.074976911,0.984755959
01-12-1993,7.1799622,4.888041165,4.863210834,2.316751366,2.155879455,0.160871911,1.476383082,1.229683382,1.200620504
01-01-1994,6.73147308,4.924461249,4.906251207,1.825221873,3.240827811,-1.415605938,1.372019653,1.32980839,1.031742365
01-02-1994,3.84127758,4.990162926,4.957312088,-1.116034508,-2.266297163,1.150262655,0.774871041,0.779121408,0.994544667
01-03-1994,4.39407557,5.039812327,5.014987626,-0.620912056,-1.228123141,0.607211085,0.876188716,0.875892953,1.00033767
01-04-1994,4.07534073,5.092628994,5.06622066,-0.99087993,-1.565761628,0.574881697,0.804414376,0.857301664,0.938309593
01-05-1994,4.5406449,5.149287387,5.12095819,-0.58031329,-0.587494951,0.00718166,0.886678768,0.932528984,0.950832396
01-06-1994,4.64561508,5.06800666,5.108647023,-0.463031943,-0.845161238,0.382129295,0.909363097,0.916091603,0.992655204
01-07-1994,4.75260653,5.069507555,5.068757108,-0.316150577,-0.222106354,-0.094044223,0.937627594,0.977965833,0.958752916
01-08-1994,5.35060467,5.100740036,5.085123795,0.265480875,-0.017413376,0.282894251,1.052207357,0.989173399,1.063723871
01-09-1994,5.20445484,5.14701286,5.123876448,0.080578392,-0.143319153,0.223897545,1.015726061,0.985871331,1.030282583
01-10-1994,5.3016513,5.209321541,5.1781672,0.1234841,0.574863726,-0.451379627,1.023847067,1.044928686,0.979824825
01-11-1994,5.77374216,5.263830648,5.236576095,0.537166065,0.97253852,-0.435372454,1.102579635,1.074976911,1.025677504
01-12-1994,6.20459348,5.307594984,5.285712816,0.918880664,2.155879455,-1.236998791,1.173842336,1.229683382,0.954589086
01-01-1995,6.74948382,5.349606238,5.328600611,1.420883209,3.240827811,-1.819944601,1.266652225,1.32980839,0.952507319
01-02-1995,4.21606735,5.391662289,5.370634263,-1.154566913,-2.266297163,1.111730249,0.785022242,0.779121408,1.007573703
01-03-1995,4.94934946,5.41551847,5.40359038,-0.45424092,-1.228123141,0.773882222,0.915937203,0.875892953,1.045718201
01-04-1995,4.8230449,5.483321964,5.449420217,-0.626375317,-1.565761628,0.939386311,0.885056521,0.857301664,1.032374668
01-05-1995,5.19475419,5.509549521,5.496435743,-0.301681552,-0.587494951,0.285813398,0.945113239,0.932528984,1.013494761
01-06-1995,5.17078711,5.610549891,5.560049706,-0.389262596,-0.845161238,0.455898643,0.929989368,0.916091603,1.015170715
01-07-1995,5.25674157,5.742213916,5.676381903,-0.419640333,-0.222106354,-0.197533979,0.926072569,0.977965833,0.946937549
01-08-1995,5.85527729,5.813357958,5.777785937,0.077491353,-0.017413376,0.09490473,1.013411946,0.989173399,1.024503841
01-09-1995,5.49072901,5.839458558,5.826408258,-0.335679248,-0.143319153,-0.192360095,0.94238659,0.985871331,0.955892073
01-10-1995,6.11529323,5.90396534,5.871711949,0.243581281,0.574863726,-0.331282445,1.041483861,1.044928686,0.996703292
01-11-1995,6.08847284,5.980260491,5.942112915,0.146359925,0.97253852,-0.826178595,1.024630956,1.074976911,0.953165548
01-12-1995,7.41659792,6.023458302,6.001859396,1.414738524,2.155879455,-0.741140931,1.235716705,1.229683382,1.004906404
01-01-1996,8.32945212,6.125967282,6.074712792,2.254739328,3.240827811,-0.986088482,1.371168054,1.32980839,1.031101973
01-02-1996,5.06979585,6.163074952,6.144521117,-1.074725267,-2.266297163,1.191571896,0.825092103,0.779121408,1.05900325
01-03-1996,5.26255667,6.244470513,6.203772732,-0.941216062,-1.228123141,0.286907079,0.848283278,0.875892953,0.968478254
01-04-1996,5.59712628,6.303915193,6.274192853,-0.677066572,-1.565761628,0.888695055,0.892087064,0.857301664,1.040575449
01-05-1996,6.110296,6.350632311,6.327273752,-0.216977752,-0.587494951,0.370517199,0.965707545,0.932528984,1.03557912
01-06-1996,5.68916084,6.449827252,6.400229781,-0.711068941,-0.845161238,0.134092297,0.888899467,0.916091603,0.97031723
01-07-1996,6.48684933,6.466078826,6.457953039,0.028896291,-0.222106354,0.251002646,1.004474528,0.977965833,1.027105952
01-08-1996,6.30056933,6.483422369,6.474750598,-0.174181267,-0.017413376,-0.156767891,0.973098382,0.989173399,0.983749041
01-09-1996,6.46747574,6.521067934,6.502245152,-0.034769412,-0.143319153,0.108549741,0.994652707,0.985871331,1.008907223
01-10-1996,6.82862939,6.572518168,6.546793051,0.281836339,0.574863726,-0.293027387,1.043049526,1.044928686,0.998201639
01-11-1996,6.64907826,6.597654267,6.585086217,0.063992043,0.97253852,-0.908546477,1.009717723,1.074976911,0.939292474
01-12-1996,8.60693721,6.6792005,6.638427383,1.968509827,2.155879455,-0.187369628,1.296532554,1.229683382,1.054362914
01-01-1997,8.52447101,6.726198974,6.702699737,1.821771273,3.240827811,-1.419056538,1.271796641,1.32980839,0.956375858
01-02-1997,5.27791837,6.759894748,6.743046861,-1.465128491,-2.266297163,0.801168672,0.782720108,0.779121408,1.004618921
01-03-1997,5.71430345,6.825187403,6.792541075,-1.078237625,-1.228123141,0.149885516,0.841261523,0.875892953,0.960461572
01-04-1997,6.21452908,6.907779386,6.866483395,-0.651954315,-1.565761628,0.913807313,0.905052663,0.857301664,1.055699179
01-05-1997,6.41192919,6.970197953,6.938988669,-0.527059479,-0.587494951,0.060435472,0.924043761,0.932528984,0.990900849
01-06-1997,6.66771564,7.094305968,7.03225196,-0.36453632,-0.845161238,0.480624918,0.948162221,0.916091603,1.035008091
01-07-1997,7.05083102,7.117142803,7.105724385,-0.054893365,-0.222106354,0.167212989,0.992274769,0.977965833,1.014631325
01-08-1997,6.70491861,7.170504668,7.143823735,-0.438905125,-0.017413376,-0.421491749,0.938561596,0.989173399,0.948834247
01-09-1997,7.25098761,7.238853796,7.204679232,0.046308378,-0.143319153,0.189627531,1.006427542,0.985871331,1.020850805
01-10-1997,7.81973318,7.277287673,7.258070735,0.561662445,0.574863726,-0.013201281,1.077384537,1.044928686,1.031060351
01-11-1997,7.39810106,7.331643623,7.304465648,0.093635412,0.97253852,-0.878903108,1.012818927,1.074976911,0.942177378
01-12-1997,10.09623339,7.391282418,7.36146302,2.73477037,2.155879455,0.578890915,1.371498215,1.229683382,1.115326298
01-01-1998,8.79851303,7.454837822,7.42306012,1.37545291,3.240827811,-1.8653749,1.185294594,1.32980839,0.891327354
01-02-1998,5.91826076,7.515418955,7.485128388,-1.566867628,-2.266297163,0.699429534,0.790669238,0.779121408,1.014821605
01-03-1998,6.53449298,7.600763089,7.558091022,-1.023598042,-1.228123141,0.204525099,0.864569236,0.875892953,0.987071802
01-04-1998,6.67573561,7.637488773,7.619125931,-0.943390321,-1.565761628,0.622371307,0.876181293,0.857301664,1.022022154
01-05-1998,7.06420058,7.737326663,7.687407718,-0.623207138,-0.587494951,-0.035712187,0.918931432,0.932528984,0.985418628
01-06-1998,7.38338118,7.775885466,7.756606065,-0.373224885,-0.845161238,0.471936354,0.951882965,0.916091603,1.039069632
01-07-1998,7.81349587,7.908627347,7.842256406,-0.028760536,-0.222106354,0.193345818,0.99633262,0.977965833,1.018780602
01-08-1998,7.43189221,7.95056683,7.929597088,-0.497704878,-0.017413376,-0.480291502,0.937234531,0.989173399,0.947492656
01-09-1998,8.27511722,8.077910696,8.014238763,0.260878457,-0.143319153,0.40419761,1.03255187,0.985871331,1.047349525
01-10-1998,8.26044138,8.12974432,8.103827508,0.156613872,0.574863726,-0.418249854,1.019325914,1.044928686,0.975498068
01-11-1998,8.59615575,8.2024706,8.16610746,0.43004829,0.97253852,-0.54249023,1.05266258,1.074976911,0.979242037
01-12-1998,10.55893902,8.267632417,8.235051508,2.323887512,2.155879455,0.168008057,1.282194654,1.229683382,1.042703083
01-01-1999,10.3914156,8.342959466,8.305295941,2.086119659,3.240827811,-1.154708152,1.251179449,1.32980839,0.940871977
01-02-1999,6.42153456,8.479548763,8.411254115,-1.989719555,-2.266297163,0.276577608,0.763445554,0.779121408,0.979880089
01-03-1999,8.06261937,8.554715109,8.517131936,-0.454512566,-1.228123141,0.773610575,0.946635491,0.875892953,1.080766191
01-04-1999,7.2977391,8.637335556,8.596025333,-1.298286233,-1.565761628,0.267475395,0.848966681,0.857301664,0.990277655
01-05-1999,7.93691594,8.748750613,8.693043084,-0.756127144,-0.587494951,-0.168632193,0.91301928,0.932528984,0.979078716
01-06-1999,8.16532298,8.829920218,8.789335415,-0.624012435,-0.845161238,0.221148803,0.929003456,0.916091603,1.0140945
01-07-1999,8.71742046,9.00659078,8.918255499,-0.200835039,-0.222106354,0.021271316,0.977480457,0.977965833,0.999503688
01-08-1999,9.07096378,9.092896111,9.049743445,0.021220335,-0.017413376,0.038633711,1.002344855,0.989173399,1.013315619
01-09-1999,9.17711337,9.136943733,9.114919922,0.062193448,-0.143319153,0.205512601,1.006823258,0.985871331,1.021252192
01-10-1999,9.25188674,9.234965506,9.18595462,0.06593212,0.574863726,-0.508931606,1.007177493,1.044928686,0.963871991
01-11-1999,9.93313643,9.355789394,9.29537745,0.63775898,0.97253852,-0.33477954,1.068610337,1.074976911,0.994077478
01-12-1999,11.53297428,9.472045767,9.41391758,2.1190567,2.155879455,-0.036822755,1.225098285,1.229683382,0.996271319
01-01-2000,12.51146235,9.648451962,9.560248864,2.951213486,3.240827811,-0.289614325,1.308696304,1.32980839,0.984123963
01-02-2000,7.45719853,9.779517549,9.713984755,-2.256786225,-2.266297163,0.009510937,0.767676573,0.779121408,0.985310589
01-03-2000,8.59119084,9.840438257,9.809977903,-1.218787063,-1.228123141,0.009336078,0.875760468,0.875892953,0.999848743
01-04-2000,8.47400037,10.04528447,9.942861363,-1.468860993,-1.565761628,0.096900634,0.85226979,0.857301664,0.994130568
01-05-2000,9.3868026,10.16253566,10.10391007,-0.717107466,-0.587494951,-0.129612515,0.929026737,0.932528984,0.996244356
01-06-2000,9.56039945,10.20804879,10.18529223,-0.624892777,-0.845161238,0.220268461,0.938647536,0.916091603,1.024621918
01-07-2000,10.8342948,10.37355869,10.29080374,0.54349106,-0.222106354,0.765597414,1.052813276,0.977965833,1.076533802
01-08-2000,10.64375083,10.42289837,10.39822853,0.245522299,-0.017413376,0.262935676,1.023611935,0.989173399,1.03481547
01-09-2000,9.90816186,10.5663734,10.49463589,-0.586474028,-0.143319153,-0.443154875,0.944116782,0.985871331,0.95764706
01-10-2000,11.7100413,10.67298655,10.61967998,1.090361323,0.574863726,0.515497596,1.102673652,1.044928686,1.055262112
01-11-2000,11.34015074,10.79495149,10.73396902,0.606181718,0.97253852,-0.366356802,1.056473213,1.074976911,0.982786888
01-12-2000,12.07913184,10.8283948,10.81167314,1.267458695,2.155879455,-0.888420759,1.117230578,1.229683382,0.908551416
01-01-2001,14.49758109,10.87917035,10.85378258,3.643798514,3.240827811,0.402970704,1.335716925,1.32980839,1.004443148
01-02-2001,8.04927477,10.96379436,10.92148236,-2.872207585,-2.266297163,-0.605910422,0.737013027,0.779121408,0.945954019
01-03-2001,10.31289116,11.02536919,10.99458177,-0.681690611,-1.228123141,0.54643253,0.937997586,0.875892953,1.070904364
01-04-2001,9.75335821,11.10387695,11.06462307,-1.311264856,-1.565761628,0.254496772,0.881490328,0.857301664,1.02821488
01-05-2001,10.85038183,11.29840324,11.2011401,-0.350758265,-0.587494951,0.236736685,0.968685485,0.932528984,1.038772523
01-06-2001,9.96171916,11.37228685,11.33534505,-1.373625886,-0.845161238,-0.528464648,0.878819226,0.916091603,0.959313701
01-07-2001,11.44360144,11.52251086,11.44739886,-0.003797416,-0.222106354,0.218308939,0.999668273,0.977965833,1.022191409
01-08-2001,11.65923889,11.60619508,11.56435297,0.094885919,-0.017413376,0.112299295,1.008205035,0.989173399,1.019239939
01-09-2001,10.64705979,11.58032488,11.59325998,-0.94620019,-0.143319153,-0.802881038,0.918383596,0.985871331,0.931545089
01-10-2001,12.65213444,11.66660754,11.62346621,1.028668231,0.574863726,0.453804505,1.088499266,1.044928686,1.041697181
01-11-2001,13.67446631,11.77130115,11.71895434,1.955511968,0.97253852,0.982973449,1.166867445,1.074976911,1.085481402
01-12-2001,12.96573509,11.85399964,11.81265039,1.153084697,2.155879455,-1.002794758,1.097614393,1.229683382,0.892599192
01-01-2002,16.30026927,11.97074668,11.91237316,4.387896113,3.240827811,1.147068302,1.368347772,1.32980839,1.028981154
01-02-2002,9.05348536,12.01551842,11.99313255,-2.939647188,-2.266297163,-0.673350026,0.754889127,0.779121408,0.96889794
01-03-2002,10.00244879,12.19949243,12.10750543,-2.105056635,-1.228123141,-0.876933494,0.826136222,0.875892953,0.943193137
01-04-2002,10.78875007,12.27364826,12.23657034,-1.447820272,-1.565761628,0.117941356,0.881680877,0.857301664,1.028437146
01-05-2002,12.10670515,12.24141273,12.25753049,-0.150825342,-0.587494951,0.436669609,0.987695291,0.932528984,1.05915774
01-06-2002,10.95410107,12.42217796,12.33179534,-1.377694274,-0.845161238,-0.532533035,0.888281127,0.916091603,0.969642255
01-07-2002,12.84456587,12.46618466,12.44418131,0.400384561,-0.222106354,0.622490916,1.03217444,0.977965833,1.05542996
01-08-2002,12.19649985,12.5284121,12.49729838,-0.300798528,-0.017413376,-0.283385152,0.975930916,0.989173399,0.986612577
01-09-2002,12.85474787,12.59629084,12.56235147,0.292396402,-0.143319153,0.435715554,1.023275611,0.985871331,1.037940326
01-10-2002,13.54200436,12.58508021,12.59068553,0.951318833,0.574863726,0.376455107,1.07555735,1.044928686,1.029311727
01-11-2002,13.28764,12.61888168,12.60198095,0.685659055,0.97253852,-0.286879465,1.054408831,1.074976911,0.980866492
01-12-2002,15.13491784,12.71947406,12.66917787,2.465739972,2.155879455,0.309860517,1.194625097,1.229683382,0.97148999
01-01-2003,16.82834968,12.73226409,12.72586907,4.102480605,3.240827811,0.861652795,1.322373315,1.32980839,0.994408913
01-02-2003,9.80021461,12.75899541,12.74562975,-2.945415138,-2.266297163,-0.679117975,0.768907838,0.779121408,0.986890913
01-03-2003,10.81699371,12.79348789,12.77624165,-1.959247937,-1.228123141,-0.731124795,0.846649117,0.875892953,0.966612545
01-04-2003,10.65422256,12.89278933,12.84313861,-2.188916048,-1.565761628,-0.62315442,0.829565333,0.857301664,0.967646942
01-05-2003,12.51232269,12.92460114,12.90869524,-0.396372546,-0.587494951,0.191122405,0.969294143,0.932528984,1.039425219
01-06-2003,12.16120969,13.03868846,12.9816448,-0.820435109,-0.845161238,0.02472613,0.936800373,0.916091603,1.022605567
01-07-2003,12.9980462,13.13663998,13.08766422,-0.089618017,-0.222106354,0.132488337,0.993152482,0.977965833,1.015528813
01-08-2003,12.51727568,13.31479125,13.22571561,-0.708439934,-0.017413376,-0.691026558,0.946434661,0.989173399,0.956793483
01-09-2003,13.26865761,13.49653345,13.40566235,-0.13700474,-0.143319153,0.006314413,0.989780084,0.985871331,1.003964771
01-10-2003,14.73362169,13.68223533,13.58938439,1.144237303,0.574863726,0.569373577,1.08420082,1.044928686,1.037583554
01-11-2003,13.66938174,13.80149567,13.7418655,-0.072483757,0.97253852,-1.045022276,0.994725334,1.074976911,0.925345766
01-12-2003,16.50396561,13.95385088,13.87767327,2.626292337,2.155879455,0.470412882,1.189245869,1.229683382,0.967115508
01-01-2004,18.00376795,14.14893848,14.05139468,3.952373272,3.240827811,0.711545461,1.281279785,1.32980839,0.963507069
01-02-2004,11.93802987,14.38672917,14.26783382,-2.329803953,-2.266297163,-0.063506791,0.836709343,0.779121408,1.073913943
01-03-2004,12.9979001,14.62617478,14.50645198,-1.508551875,-1.228123141,-0.280428734,0.896008212,0.875892953,1.022965431
01-04-2004,12.88264507,14.78885248,14.70751363,-1.82486856,-1.565761628,-0.259106932,0.875922701,0.857301664,1.021720519
01-05-2004,13.94344681,15.11946466,14.95415857,-1.01071176,-0.587494951,-0.423216809,0.932412663,0.932528984,0.999875263
01-06-2004,13.9894722,15.31657795,15.21802131,-1.228549105,-0.845161238,-0.383387867,0.919270115,0.916091603,1.003469645
01-07-2004,15.33909742,15.5478242,15.43220107,-0.093103654,-0.222106354,0.129002701,0.993966923,0.977965833,1.016361605
01-08-2004,15.37076394,15.56586771,15.55684596,-0.186082016,-0.017413376,-0.16866864,0.988038577,0.989173399,0.998852757
01-09-2004,16.142005,15.59957537,15.58272154,0.559283459,-0.143319153,0.702602612,1.035891257,0.985871331,1.050736769
01-10-2004,16.685754,15.7309582,15.66526678,1.020487216,0.574863726,0.44562349,1.065143303,1.044928686,1.019345451
01-11-2004,17.636728,15.80192946,15.76644383,1.87028417,0.97253852,0.89774565,1.118624351,1.074976911,1.040603142
01-12-2004,18.869325,15.94491078,15.87342012,2.995904878,2.155879455,0.840025423,1.188737201,1.229683382,0.96670185
01-01-2005,20.778723,15.98578183,15.9653463,4.813376696,3.240827811,1.572548885,1.301489025,1.32980839,0.978704176
01-02-2005,12.154552,16.16777658,16.07677921,-3.922227206,-2.266297163,-1.655930043,0.756031531,0.779121408,0.970364212
01-03-2005,13.402392,16.33101483,16.24939571,-2.847003708,-1.228123141,-1.618880567,0.824793256,0.875892953,0.941659884
01-04-2005,14.459239,16.398591,16.36480292,-1.905563917,-1.565761628,-0.339802289,0.883557173,0.857301664,1.030625753
01-05-2005,14.795102,16.54113575,16.46986338,-1.674761375,-0.587494951,-1.087266424,0.898313584,0.932528984,0.963309023
01-06-2005,15.705248,16.63796625,16.589551,-0.884303,-0.845161238,-0.039141762,0.946695182,0.916091603,1.03340668
01-07-2005,15.82955,16.8636305,16.75079838,-0.921248375,-0.222106354,-0.699142021,0.945002718,0.977965833,0.966294206
01-08-2005,17.554701,16.89550008,16.87956529,0.675135708,-0.017413376,0.692549085,1.039997221,0.989173399,1.051380094
01-09-2005,18.100864,17.06755225,16.98152617,1.119337833,-0.143319153,1.262656986,1.065915032,0.985871331,1.081190819
01-10-2005,17.496668,17.04874392,17.05814808,0.438519917,0.574863726,-0.136343809,1.025707358,1.044928686,0.98160513
01-11-2005,19.347265,17.29774025,17.17324208,2.174022917,0.97253852,1.201484397,1.126593622,1.074976911,1.048016576
01-12-2005,20.031291,17.34660308,17.32217167,2.709119333,2.155879455,0.553239878,1.156396056,1.229683382,0.940401467
01-01-2006,23.486694,17.44249742,17.39455025,6.09214375,3.240827811,2.851315939,1.350232898,1.32980839,1.015358986
01-02-2006,12.536987,17.53062142,17.48655942,-4.949572417,-2.266297163,-2.683275254,0.716949899,0.779121408,0.920203053
01-03-2006,15.467018,17.40749467,17.46905804,-2.002040042,-1.228123141,-0.7739169,0.885395078,0.875892953,1.0108485
01-04-2006,14.233539,17.73529242,17.57139354,-3.337854542,-1.565761628,-1.772092914,0.81004042,0.857301664,0.944872095
01-05-2006,17.783058,18.08764675,17.91146958,-0.128411583,-0.587494951,0.459083367,0.992830762,0.932528984,1.064664777
01-06-2006,16.291602,18.36288967,18.22526821,-1.933666208,-0.845161238,-1.08850497,0.893901907,0.916091603,0.975777863
01-07-2006,16.980282,18.74219708,18.55254338,-1.572261375,-0.222106354,-1.350155021,0.915253594,0.977965833,0.935874816
01-08-2006,18.612189,19.09443725,18.91831717,-0.306128167,-0.017413376,-0.28871479,0.983818425,0.989173399,0.994586416
01-09-2006,16.623343,19.45491525,19.27467625,-2.65133325,-0.143319153,-2.508014097,0.862444732,0.985871331,0.874804557
01-10-2006,21.430241,19.63772908,19.54632217,1.883918833,0.574863726,1.309055107,1.096382267,1.044928686,1.049241237
01-11-2006,23.575517,19.90586942,19.77179925,3.80371775,0.97253852,2.83117923,1.192380961,1.074976911,1.109215416
01-12-2006,23.334206,20.27165275,20.08876108,3.245444917,2.155879455,1.089565462,1.161555255,1.229683382,0.944597017
01-01-2007,28.038383,20.67620342,20.47392808,7.564454917,3.240827811,4.323627106,1.36946769,1.32980839,1.029823319
01-02-2007,16.763869,21.11937129,20.89778736,-4.133918355,-2.266297163,-1.867621193,0.802183921,0.779121408,1.029600667
01-03-2007,19.792754,21.64495579,21.38216354,-1.589409542,-1.228123141,-0.3612864,0.925666571,0.875892953,1.056826142
01-04-2007,16.427305,21.79771403,21.72133491,-5.294029911,-1.565761628,-3.728268283,0.756275112,0.857301664,0.882157523
01-05-2007,21.000742,21.9372568,21.86748542,-0.866743417,-0.587494951,-0.279248466,0.960363828,0.932528984,1.029848771
01-06-2007,20.681002,22.14324713,22.04025197,-1.359249968,-0.845161238,-0.514088729,0.938328746,0.916091603,1.02427393
01-07-2007,21.83489,22.27882822,22.21103768,-0.376147676,-0.222106354,-0.154041321,0.983064831,0.977965833,1.005213882
01-08-2007,23.93020353,22.68636288,22.48259555,1.447607979,-0.017413376,1.465021356,1.064387938,0.989173399,1.07603777
01-09-2007,22.93035694,22.55904547,22.62270418,0.307652764,-0.143319153,0.450971917,1.013599292,0.985871331,1.028125335
01-10-2007,23.26333992,23.11574313,22.8373943,0.425945619,0.574863726,-0.148918107,1.018651235,1.044928686,0.974852399
01-11-2007,25.25003022,23.27505713,23.19540013,2.054630086,0.97253852,1.082091566,1.088579204,1.074976911,1.012653568
01-12-2007,25.80609,23.17095197,23.22300455,2.583085449,2.155879455,0.427205994,1.111229598,1.229683382,0.903671314
01-01-2008,29.665356,0,0,29.665356,3.240827811,26.42452819,Inf,1.32980839,Inf
01-02-2008,21.654285,0,0,21.654285,-2.266297163,23.92058216,Inf,0.779121408,Inf
01-03-2008,18.264945,0,0,18.264945,-1.228123141,19.49306814,Inf,0.875892953,Inf
01-04-2008,23.107677,0,0,23.107677,-1.565761628,24.67343863,Inf,0.857301664,Inf
01-05-2008,22.91251,0,0,22.91251,-0.587494951,23.50000495,Inf,0.932528984,Inf
01-06-2008,19.43174,0,0,19.43174,-0.845161238,20.27690124,Inf,0.916091603,Inf
