Date,Total quarterly beer production in Australia (in megalitres)
01-03-1956,284
01-06-1956,213
01-09-1956,227
01-12-1956,308
01-03-1957,262
01-06-1957,228
01-09-1957,236
01-12-1957,320
01-03-1958,272
01-06-1958,233
01-09-1958,237
01-12-1958,313
01-03-1959,261
01-06-1959,227
01-09-1959,250
01-12-1959,314
01-03-1960,286
01-06-1960,227
01-09-1960,260
01-12-1960,311
01-03-1961,295
01-06-1961,233
01-09-1961,257
01-12-1961,339
01-03-1962,279
01-06-1962,250
01-09-1962,270
01-12-1962,346
01-03-1963,294
01-06-1963,255
01-09-1963,278
01-12-1963,363
01-03-1964,313
01-06-1964,273
01-09-1964,300
01-12-1964,370
01-03-1965,331
01-06-1965,288
01-09-1965,306
01-12-1965,386
01-03-1966,335
01-06-1966,288
01-09-1966,308
01-12-1966,402
01-03-1967,353
01-06-1967,316
01-09-1967,325
01-12-1967,405
01-03-1968,393
01-06-1968,319
01-09-1968,327
01-12-1968,442
01-03-1969,383
01-06-1969,332
01-09-1969,361
01-12-1969,446
01-03-1970,387
01-06-1970,357
01-09-1970,374
01-12-1970,466
01-03-1971,410
01-06-1971,370
01-09-1971,379
01-12-1971,487
01-03-1972,419
01-06-1972,378
01-09-1972,393
01-12-1972,506
01-03-1973,458
01-06-1973,387
01-09-1973,427
01-12-1973,565
01-03-1974,465
01-06-1974,445
01-09-1974,450
01-12-1974,556
01-03-1975,500
01-06-1975,452
01-09-1975,435
01-12-1975,554
01-03-1976,510
01-06-1976,433
01-09-1976,453
01-12-1976,548
01-03-1977,486
01-06-1977,453
01-09-1977,457
01-12-1977,566
01-03-1978,515
01-06-1978,464
01-09-1978,431
01-12-1978,588
01-03-1979,503
01-06-1979,443
01-09-1979,448
01-12-1979,555
01-03-1980,513
01-06-1980,427
01-09-1980,473
01-12-1980,526
01-03-1981,548
01-06-1981,440
01-09-1981,469
01-12-1981,575
01-03-1982,493
01-06-1982,433
01-09-1982,480
01-12-1982,576
01-03-1983,475
01-06-1983,405
01-09-1983,435
01-12-1983,535
01-03-1984,453
01-06-1984,430
01-09-1984,417
01-12-1984,552
01-03-1985,464
01-06-1985,417
01-09-1985,423
01-12-1985,554
01-03-1986,459
01-06-1986,428
01-09-1986,429
01-12-1986,534
01-03-1987,481
01-06-1987,416
01-09-1987,440
01-12-1987,538
01-03-1988,474
01-06-1988,440
01-09-1988,447
01-12-1988,598
01-03-1989,467
01-06-1989,439
01-09-1989,446
01-12-1989,567
01-03-1990,485
01-06-1990,441
01-09-1990,429
01-12-1990,599
01-03-1991,464
01-06-1991,424
01-09-1991,436
01-12-1991,574
01-03-1992,443
01-06-1992,410
01-09-1992,420
01-12-1992,532
01-03-1993,433
01-06-1993,421
01-09-1993,410
01-12-1993,512
01-03-1994,449
01-06-1994,381
01-09-1994,423
01-12-1994,531
01-03-1995,426
01-06-1995,408
01-09-1995,416
01-12-1995,520
01-03-1996,409
01-06-1996,398
01-09-1996,398
01-12-1996,507
01-03-1997,432
01-06-1997,398
01-09-1997,406
01-12-1997,526
01-03-1998,428
01-06-1998,397
01-09-1998,403
01-12-1998,517
01-03-1999,435
01-06-1999,383
01-09-1999,424
01-12-1999,521
01-03-2000,421
01-06-2000,402
01-09-2000,414
01-12-2000,500
01-03-2001,451
01-06-2001,380
01-09-2001,416
01-12-2001,492
01-03-2002,428
01-06-2002,408
01-09-2002,406
01-12-2002,506
01-03-2003,435
01-06-2003,380
01-09-2003,421
01-12-2003,490
01-03-2004,435
01-06-2004,390
01-09-2004,412
01-12-2004,454
01-03-2005,416
01-06-2005,403
01-09-2005,408
01-12-2005,482
01-03-2006,438
01-06-2006,386
01-09-2006,405
01-12-2006,491
01-03-2007,427
01-06-2007,383
01-09-2007,394
01-12-2007,473
01-03-2008,420
01-06-2008,390
01-09-2008,410
